uniprot_id,ec_number,gene_symbol,drugbank_id,drugbank_names,chembl_id,chembl_approved_drugs,clinvar_id,clinvar_pathogenic_count,omim_gene_id,omim_phenotype_id,disgenet_id,orphanet_id,gene_id
O00187,3.4.21.104,MASP2,DB04527;DB16418,beta-Hydroxyasparagine;Narsoplimab,CHEMBL4295646,,,54,605102,613791,10747,331187,10747
O00217,7.1.1.2,NDUFS8,DB00157,NADH,CHEMBL2363065,,,54,602141,618222,4728,2609,4728
O00238,2.7.11.30,BMPR1B,DB12010,Fostamatinib,CHEMBL5476,SR-3677;LESTAURTINIB;MIDOSTAURIN;QUIZARTINIB;TANDUTINIB;SUNITINIB;CGP-52421;SORAFENIB;CEDIRANIB;TOFACITINIB;IMATINIB;PHA-665752;SELUMETINIB;CRIZOTINIB;RUXOLITINIB;BI-2536;DASATINIB;PI-103;TAE-684;NINTEDANIB;ERLOTINIB;TG100-115;AFATINIB;PLX-4720;FEDRATINIB;FORETINIB;KW-2449;VANDETANIB;DORAMAPIMOD;ALVOCIDIB;LAPATINIB;VATALANIB;TOZASERTIB;MASITINIB,,58,603248,112600;609441;616849,658,2098;93388;93396;93384;2639,658
O00329,2.7.1.137;2.7.1.153,PIK3CD,DB06831;DB15407;DB16879;DB11666;DB00201;DB13051;DB12483;DB16137;DB11952;DB12010;DB09054;DB16217;DB14867;DB15295;DB05552;DB14989;DB08059;DB05241,2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE;Acalisib;AMG-319;Buparlisib;Caffeine;CH-5132799;Copanlisib;Dezapelisib;Duvelisib;Fostamatinib;Idelalisib;Leniolisib;Parsaclisib;Tenalisib;TG100-115;Umbralisib;Wortmannin;XL765,CHEMBL3130,WORTMANNIN;LY-294002;TG100-115;MLN-8054,,1004,602839,613328;615513;619281,5293,693661;33110;221139,5293
O00408,3.1.4.17,PDE2A,DB07954;DB00201;DB02315;DB09273;DB06246;DB20144;DB05142;DB08811;DB09283,3-isobutyl-1-methyl-7H-xanthine;Caffeine;Cyclic GMP;Doxofylline;Exisulind;Imazodan;ND7001;Tofisopam;Trapidil,CHEMBL2652,IMAZODAN;CI-930;ROLIPRAM;CILOMILAST;ZAPRINAST;DIPYRIDAMOLE;MILRINONE;ISOBUTYLMETHYLXANTHINE;SILDENAFIL;TADALAFIL,,27,602658,619150,5138,,5138
O00444,2.7.11.21,PLK4,DB12010,Fostamatinib,CHEMBL3788,LAPATINIB;PELITINIB;VATALANIB;SUNITINIB;TANDUTINIB;RUBOXISTAURIN;SORAFENIB;SELICICLIB;ALVOCIDIB;STAUROSPORINE;SB-202190;SB-203580;NEFLAMAPIMOD;DORAMAPIMOD;SP-600125;IMATINIB;GEFITINIB;ERLOTINIB;VANDETANIB;CANERTINIB;GELDANAMYCIN;RADICICOL,,79,605031,616171,10733,2518;808,10733
O00519,3.5.1.99,FAAH,DB06894;DB08400;DB08385;DB00316;DB09061;DB12010;DB15173;DB14009;DB02465;DB14011;DB00818;DB00599,1-Dodecanol;4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid;4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid;Acetaminophen;Cannabidiol;Fostamatinib;JNJ-42165279;Medical Cannabis;Methoxy arachidonyl fluorophosphonate;Nabiximols;Propofol;Thiopental,CHEMBL2243,2-ARACHIDONOYLGLYCEROL;ANANDAMIDE,,8,602935,606581,2166,,2166
O00763,6.4.1.2,ACACB,DB03781;DB00173;DB00121;DB17979;DB07870;DB00331;DB12096;DB02859,"2-[4-(2,4-Dichlorophenoxy)Phenoxy]Propanoic Acid;Adenine;Biotin;Dapiclermin;Haloxyfop-P;Metformin;PF-05175157;Soraphen A",CHEMBL4829,,,14,601557,,32,,32
O14746,2.7.7.49,TERT,DB04115;DB18890;DB00997;DB17882;DB00544;DB14909;DB04728;DB00397;DB12747;DB00495,Berberine;Depulfavirine;Doxorubicin;Epitalon;Fluorouracil;Imetelstat;Lividomycin A;Phenylpropanolamine;Tertomotide;Zidovudine,CHEMBL2916,,,555,187270,609135;613989;614742;615134,7015,1501;457246;146;1775;618;3322;88;2032;2495,7015
O14757,2.7.11.1,CHEK1,DB07647;DB07648;DB07037;DB07243;DB07078;DB07654;DB07213;DB07314;DB07228;DB08781;DB08774;DB07311;DB07034;DB07038;DB08779;DB08393;DB08392;DB07959;DB07075;DB07025;DB07655;DB07320;DB07336;DB08777;DB07158;DB08780;DB01933;DB08778;DB12242;DB03777;DB06852;DB12429;DB04367;DB06486;DB12010;DB14791;DB12284;DB11899;DB08776;DB07653;DB06876;DB07126;DB12611;DB12008;DB11662;DB08683;DB17051;DB04462;DB05149,"(2R)-1-[(5,6-DIPHENYL-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL)AMINO]PROPAN-2-OL;(2R)-3-{[(4Z)-5,6-DIPHENYL-6,7-DIHYDRO-4H-PYRROLO[2,3-D]PYRIMIDIN-4-YLIDENE]AMINO}PROPANE-1,2-DIOL;(2S)-1-AMINO-3-[(5-NITROQUINOLIN-8-YL)AMINO]PROPAN-2-OL;(3-ENDO)-8-METHYL-8-AZABICYCLO[3.2.1]OCT-3-YL 1H-PYRROLO[2,3-B]PYRIDINE-3-CARBOXYLATE;(3Z)-6-(4-HYDROXY-3-METHOXYPHENYL)-3-(1H-PYRROL-2-YLMETHYLENE)-1,3-DIHYDRO-2H-INDOL-2-ONE;(5,6-DIPHENYL-FURO[2,3-D]PYRIMIDIN-4-YLAMINO)-ACETIC;(5-{3-[5-(PIPERIDIN-1-YLMETHYL)-1H-INDOL-2-Y",CHEMBL4630,BMS-387032;CEP-5214;HYMENIALDISINE;DEBROMOHYMENIALDISINE;GF-109203,,72,603078,620610,1111,,1111
