uniprot_id,gene_symbol,disease_id,disease_name,disease_source,disease_mondo_id,disease_dbxrefs,opentargets_score
O00329,PIK3CD,Orphanet:397596,activated PI3K-delta syndrome,Orphanet,MONDO_0018338,GARD:0011983;ICD9:279.8;MESH:C585640;Orphanet:397596;SCTID:711480000,0.7592579517205167
O00329,PIK3CD,OMIM:619281,"immunodeficiency 14b, autosomal recessive",OMIM,MONDO_0023655,MEDGEN:1787468;OMIM:619281;UMLS:C5543301,0.6890281444281151
O00329,PIK3CD,OMIM:613328,Combined immunodeficiency with facio-oculo-skeletal anomalies,OMIM,Orphanet_221139,ICD10:Q87.8;OMIM:613328,0.6154348557232595
O00329,PIK3CD,DOID:1040,B-cell chronic lymphocytic leukemia,DOID,MONDO_0004948,DOID:1040;EFO:0000095;GARD:0006104;ICD10CM:C91.1;ICD9:204.1;MEDGEN:44120;MESH:D015451;MedDRA:10008958;NCIT:C3163;NORD:971;OMIM:151400;Orphanet:67038;UMLS:C0023434,0.6105392585337871
O00329,PIK3CD,MESH:C567641,combined immunodeficiency with faciooculoskeletal anomalies,MESH,MONDO_0013226,GARD:0017139;MEDGEN:442377;MESH:C567641;OMIM:613328;Orphanet:221139;UMLS:C2750068,0.5923361148054656
O00329,PIK3CD,MESH:D008224,follicular lymphoma,MESH,MONDO_0018906,DOID:0050873;GARD:0002356;HGNC:990;ICD10CM:C82;ICD10WHO:C82;ICDO:9690/3;MEDGEN:7417;MESH:D008224;NCIT:C3209;NORD:1983;ONCOTREE:FL;Orphanet:545;SCTID:308121000;UMLS:C0024301;icd11.foundation:797822185,0.5859931184321299
O00329,PIK3CD,MESH:D009369,neoplasm,MESH,MONDO_0005070,DOID:14566;EFO:0000616;HP:0002664;ICD10CM:C00-D49;ICD10CM:C7A-C7A;ICD10CM:C7B-C7B;ICD9:140-239;ICD9:239.8;ICD9:239.9;MEDGEN:10294;MESH:D009369;NCIT:C3262;ONCOTREE:OTHER;SCTID:55342001;UMLS:C0027651,0.5821722512626749
O00329,PIK3CD,MESH:D008228,non-Hodgkin lymphoma,MESH,MONDO_0018908,DOID:0060060;EFO:0005952;ICDO:9591/3;MEDGEN:6160;MESH:D008228;MedDRA:10029547;NCIT:C3211;ONCOTREE:NHL;Orphanet:547;UMLS:C0024305,0.5578570747577365
O00329,PIK3CD,DOID:706,neoplasm of mature B-cells,DOID,MONDO_0004949,DOID:706;EFO:0000096;GARD:0024136;ICD9:202.0;MEDGEN:235305;NCIT:C27910;NCIT:C3457;ONCOTREE:MBN;SCTID:269476000;UMLS:C1334633,0.5280036953984832
O00329,PIK3CD,Orphanet:300912,marginal zone lymphoma,Orphanet,MONDO_0017604,DOID:0050748;EFO:1000630;GARD:0013237;ICDO:9699/3;MEDGEN:277950;NCIT:C4341;ONCOTREE:MZL;Orphanet:300912;SCTID:447100004;UMLS:C1367654,0.5194822588195548
O00329,PIK3CD,Orphanet:101972,combined immunodeficiency,Orphanet,MONDO_0015131,DOID:0111962;DOID:628;GARD:0019806;ICD9:279.2;MEDGEN:751396;NANDO:2100203;NCIT:C27871;Orphanet:101972;UMLS:C2711630;icd11.foundation:1616506198,0.4633896419023598
O00329,PIK3CD,MESH:D016511,severe combined immunodeficiency,MESH,MONDO_0015974,DOID:627;GARD:0007628;HP:0004430;MEDGEN:88328;MESH:D016511;MedDRA:10069566;NCIT:C3472;NORD:1706;Orphanet:183660;SCTID:31323000;UMLS:C0085110;icd11.foundation:963193284,0.46319330260455854
O00329,PIK3CD,MESH:D007153,inborn error of immunity,MESH,MONDO_0003778,DOID:612;GARD:0019813;ICD9:279.3;MEDGEN:585013;MESH:D007153;NANDO:1200320;NANDO:2100204;NCIT:C3131;Orphanet:101997;SCTID:234532001;SCTID:58606001;UMLS:C0398686,0.4469056584350727
O00329,PIK3CD,DOID:1612,breast cancer,DOID,MONDO_0007254,DOID:1612;ICD10CM:C50;ICD9:174.8;MEDGEN:651;NCIT:C9335;SCTID:254837009;UMLS:C0006142;icd11.foundation:1047754165,0.4301637817635119
O00329,PIK3CD,MESH:D008223,lymphoma,MESH,MONDO_0005062,DOID:0060058;EFO:0000574;ICD9:200.0;ICD9:200.1;ICD9:202.80;ICDO:9590/3;MEDGEN:44223;MESH:D008223;MedDRA:10025310;NANDO:2100004;NCIT:C3208;ONCOTREE:MLYM;Orphanet:223735;SCTID:118600007;SCTID:373168002;UMLS:C0024299,0.4176833727839345
O00329,PIK3CD,MESH:D030342,hereditary disease,MESH,MONDO_0003847,DOID:630;EFO:0000508;ICD9:799.89;MEDGEN:5527;MESH:D030342;NCIT:C3101;SCTID:32895009;UMLS:C0019247,0.4159470055750537
O00329,PIK3CD,DOID:10534,gastric cancer,DOID,MONDO_0001056,DOID:10534;GARD:0007704;ICD10CM:C16;ICD9:151;ICD9:151.4;ICD9:151.5;ICD9:151.6;ICD9:151.9;MEDGEN:44264;NCIT:C9331;OMIM:613659;UMLS:C0024623;icd11.foundation:1397617262,0.41428663973327995
O00329,PIK3CD,DOID:0050686,cancer,DOID,MONDO_0004992,DOID:0050686;DOID:0050687;DOID:162;ICD9:195.8;ICD9:199;ICD9:199.1;ICDO:8000/3;MEDGEN:14297;NCIT:C9305;ONCOTREE:MT;SCTID:363346000;UMLS:C0006826;birnlex:406,0.41136664529775485
O00329,PIK3CD,Orphanet:33110,autosomal agammaglobulinemia,Orphanet,MONDO_0011096,GARD:0009640;MEDGEN:316941;MESH:C538056;Orphanet:33110;UMLS:C1832241,0.3828269826010566
O00329,PIK3CD,MESH:D001987,bronchiectasis,MESH,MONDO_0004822,DOID:9563;ICD10CM:J47;ICD10WHO:J47;ICD9:494;MEDGEN:14234;MESH:D001987;NANDO:2100036;NANDO:2200206;NCIT:C84475;OMIMPS:211400;SCTID:12295008;UMLS:C0006267;icd11.foundation:1935524933,0.37085480252229325
O00329,PIK3CD,MONDO_0021094,immunodeficiency disease,Mondo,MONDO_0021094,ICD9:279.3;MEDGEN:7034;NANDO:2100204;NCIT:C3131;OMIMPS:300755;SCTID:234532001;UMLS:C0021051,0.35408501952754057
O00329,PIK3CD,MESH:D020522,mantle cell lymphoma,MESH,MONDO_0018876,DOID:0050746;EFO:1001469;GARD:0006969;ICD10CM:C83.1;ICD9:200.40;ICDO:9673/3;MEDGEN:1668377;MESH:D020522;MedDRA:10061275;NCIT:C4337;NORD:1399;ONCOTREE:MCL;Orphanet:52416;SCTID:443487006;UMLS:C4721414;icd11.foundation:1804127841,0.3537415335454417
O00329,PIK3CD,Orphanet:300842,indolent B-cell non-Hodgkin lymphoma,Orphanet,MONDO_0017594,GARD:0021244;MEDGEN:1741600;NCIT:C171299;Orphanet:300842;UMLS:C5419078,0.336538389065182
O00329,PIK3CD,DOID:5520,head and neck squamous cell carcinoma,DOID,MONDO_0010150,DOID:5520;EFO:0000181;GARD:0008503;MEDGEN:257911;MESH:C535575;MedDRA:10060121;NCIT:C34447;OMIM:275355;ONCOTREE:HNSC;Orphanet:67037;SCTID:716659002;UMLS:C1168401,0.3185139318571638
O00329,PIK3CD,DOID:5557,testicular germ cell tumor,DOID,MONDO_0010108,DOID:5557;EFO:1000566;GARD:0013047;ICD9:239.5;MEDGEN:277809;MESH:C563236;NCIT:C8591;OMIM:273300;Orphanet:363504;SCTID:713577007;UMLS:C1336708,0.2841708281009925
O00329,PIK3CD,MESH:D016403,diffuse large B-cell lymphoma,MESH,MONDO_0018905,DOID:0050745;EFO:0000403;GARD:0003178;ICD10CM:C83.3;ICD9:200.7;ICDO:9680/3;MEDGEN:86954;MESH:D016403;MedDRA:10012818;NCIT:C8851;Orphanet:544;UMLS:C0079744;icd11.foundation:1946973604,0.2832397205532033
O00329,PIK3CD,DOID:718,autoimmune hemolytic anemia,DOID,MONDO_0020108,CSP:0427-1178;DOID:718;EFO:1001264;GARD:0005870;ICD9:283.0;MEDGEN:1918;MESH:D000744;MedDRA:10002046;NANDO:1200305;NANDO:2100181;NCIT:C34378;NORD:774;OMIM:205700;Orphanet:98375;SCTID:413603009;UMLS:C0002880;icd11.foundation:1834341306,0.27854258367413887
O00329,PIK3CD,HP_0001369,Arthritis,Mondo,HP_0001369,SNOMEDCT_US:3723001;UMLS:C0003864,0.26103312209202667
O00329,PIK3CD,HP_0011947,Respiratory tract infection,Mondo,HP_0011947,SNOMEDCT_US:275498002;UMLS:C0035243,0.26023318388608996
O00329,PIK3CD,HP_0002715,Abnormality of the immune system,Mondo,HP_0002715,ICD10:R76;UMLS:C4021753,0.25870589827929125
