ec_number,ligand_id,ligand_name,parameter,value,unit,organism,ph,temperature,commentary,pubmed_id,source,is_mutant,mutant_spec,reaction_provenance
1.1.1.1,LIG_000001,16-hydroxyhexadecanoate,km,0.06,mM,Homo sapiens,10.0,25,"0.06 {16-hydroxyhexadecanoate}  (#9# 0.1 M glycine-NaOH buffer, pH  10.0, 25°C <14>) <14>",,BRENDA,False,,
1.1.1.1,LIG_000002,1-Octanol,km,0.55,mM,Homo sapiens,,,0.55 {1-Octanol}  <11>,,BRENDA,False,,
1.1.1.1,LIG_000003,4-hydroxy-retinol,km,0.004,mM,Homo sapiens,7.5,25,"0.004 {4-hydroxy-retinol}  (#9# pH 7.5, 25°C, isozyme ADH1B1 <110>)  <110>",,BRENDA,False,,
1.1.1.1,LIG_000004,all-trans-retinal,km,0.012,mM,Homo sapiens,7.5,25,"0.012 {all-trans-retinal}  (#9# pH 7.5, 25°C, isozyme ADH1B2 <110>)  <110>",,BRENDA,False,,
1.1.1.1,LIG_000005,retinol,km,0.012,mM,Homo sapiens,7.5,25,"0.012 {retinol}  (#9# recombinant allozyme Val308, pH 7.5, 25°C  <118>) <118>",,BRENDA,False,,
1.1.1.1,LIG_000006,Cyclohexanol,km,0.008,mM,Homo sapiens,,,"0.008 {Cyclohexanol}  (#9# isoenzyme alpha,gamma1 <13>) <13>",6342669;6342669,BRENDA,False,,
1.1.1.1,LIG_000007,NAD+,km,0.013,mM,Homo sapiens,,,"0.013 {NAD+}  (#9# isoenzyme alpha,alpha <16,17>) <16,17>",,BRENDA,False,,
1.1.1.1,LIG_000008,ethanol,km,0.049,mM,Homo sapiens,,,"0.049 {ethanol}  (#9# isoenzyme beta1,beta1 <17>) <15,17>",6,BRENDA,False,,
1.1.1.1,LIG_000009,11-cis-retinol,km,0.018,mM,Homo sapiens,7.5,25,"0.018 {11-cis-retinol}  (#9# isozyme ADH1B2, pH 7.5, 25°C <122>)  <122>",,BRENDA,False,,
1.1.1.1,LIG_000007,NAD+,km,0.022,mM,Homo sapiens,,,0.022 {NAD+}  <12>,236461,BRENDA,False,,
1.1.1.1,LIG_000010,5beta-Pregnan-3beta-ol-20-one,km,0.027,mM,Homo sapiens,7.3,37,"0.027 {5beta-Pregnan-3beta-ol-20-one}  (#9# pH 7.3, 37°C, ADH1C*2  (gamma2gamma2) <119>) <119>",,BRENDA,False,,
1.1.1.1,LIG_000011,4-oxo-retinal,km,0.027,mM,Homo sapiens,7.5,25,"0.027 {4-oxo-retinal}  (#9# pH 7.5, 25°C, isozyme ADH1B2 <110>)  <110>",,BRENDA,False,,
1.1.1.1,LIG_000012,3-Phenyl-1-propanol,km,0.032,mM,Homo sapiens,10.0,25,"0.032 {3-Phenyl-1-propanol}  (#9# 0.1 M glycine-NaOH buffer, pH  10.0, 25°C <14>) <14>",,BRENDA,False,,
1.1.1.1,LIG_000013,Pentanol,km,0.09,mM,Homo sapiens,10.0,25,"0.09 {Pentanol}  (#9# 0.1 M glycine-NaOH buffer, pH 10.0, 25°C  <14>) <14>",,BRENDA,False,,
1.1.1.1,LIG_000014,"3,4-dihydro-retinal",km,0.025,mM,Homo sapiens,7.5,25,"0.025 {3,4-dihydro-retinal}  (#9# pH 7.5, 25°C, isozyme ADH1B2  <110>) <110>",,BRENDA,False,,
1.1.1.1,LIG_000015,tryptophol,km,0.2,mM,Homo sapiens,10.0,25,"0.2 {tryptophol}  (#9# 0.1 M glycine-NaOH buffer, pH 10.0, 25°C  <14>) <14>",,BRENDA,False,,
1.1.1.1,LIG_000008,ethanol,km,1.0,mM,Homo sapiens,,,"1 {ethanol}  (#9# isoenzyme gamma1,gamma1 <15>) <15>",,BRENDA,False,,
1.1.1.1,LIG_000016,all-trans-retinol,km,0.009,mM,Homo sapiens,,,0.009 {all-trans-retinol}  <53>,,BRENDA,False,,
1.1.1.1,LIG_000017,Octanol,km,0.009,mM,Homo sapiens,7.5,25,"0.009 {Octanol}  (#9# recombinant allozyme Ile308, pH 7.5, 25°C  <118>) <118>",,BRENDA,False,,
1.1.1.1,LIG_000018,9-cis-retinol,km,0.023,mM,Homo sapiens,7.5,25,"0.023 {9-cis-retinol}  (#9# isozyme ADH1B2, pH 7.5, 25°C <122>)  <122>",,BRENDA,False,,
1.1.1.1,LIG_000019,5beta-cholanic acid-3-one,km,0.25,mM,Homo sapiens,7.3,37,"0.25 {5beta-cholanic acid-3-one}  (#9# pH 7.3, 37°C, ADH1C*2  (gamma2gamma2) <119>) <119>",,BRENDA,False,,
1.1.1.1,LIG_000020,NADH,km,0.0025,mM,Homo sapiens,,,0.0025 {NADH}  <16>,,BRENDA,False,,
1.1.1.1,LIG_000017,Octanol,km,0.8,mM,Homo sapiens,,,0.8 {Octanol}  <21>,7011320,BRENDA,False,,
1.1.1.1,LIG_000021,octanal,km,2.4,mM,Homo sapiens,,,2.4 {octanal}  <16>,,BRENDA,False,,
1.1.1.1,LIG_000022,12-hydroxydodecanoate,km,0.23,mM,Homo sapiens,10.0,25,"0.23 {12-hydroxydodecanoate}  (#9# 0.1 M glycine-NaOH buffer, pH  10.0, 25°C <14>) <14>",,BRENDA,False,,
1.1.1.1,LIG_000023,"3,4-dihydro-retinol",km,0.028,mM,Homo sapiens,7.5,25,"0.028 {3,4-dihydro-retinol}  (#9# pH 7.5, 25°C, isozyme ADH4 <110>)  <110>",,BRENDA,False,,
1.1.1.1,LIG_000024,benzyl alcohol,km,0.15,mM,Homo sapiens,,,0.15 {benzyl alcohol}  <96>,2,BRENDA,False,,
1.1.1.1,LIG_000025,5alpha-androstan-17beta-ol-3-one,km,0.0036,mM,Homo sapiens,7.3,37,"0.0036 {5alpha-androstan-17beta-ol-3-one}  (#9# pH 7.3, 37°C,  ADH1C*2 (gamma2gamma2) <119>) <119>",,BRENDA,False,,
1.1.1.1,LIG_000026,"5beta-pregnan-3,20-dione",km,0.0036,mM,Homo sapiens,7.3,37,"0.0036 {5beta-pregnan-3,20-dione}  (#9# pH 7.3, 37°C, ADH1C*2  (gamma2gamma2) <119>) <119>",,BRENDA,False,,
1.1.1.1,LIG_000027,acetaldehyde,km,4.3,mM,Homo sapiens,,,"4.3 {acetaldehyde}  (#9# isoenzyme alpha,alpha <15>) <15>",,BRENDA,False,,
1.1.1.1,LIG_000024,benzyl alcohol,km,0.007,mM,Homo sapiens,10.0,25,"0.007 {benzyl alcohol}  (#9# 0.1 M glycine-NaOH buffer, pH 10.0,  25°C <14>) <14>",,BRENDA,False,,
1.1.1.1,LIG_000028,Vanillyl alcohol,km,0.034,mM,Homo sapiens,10.0,25,"0.034 {Vanillyl alcohol}  (#9# 0.1 M glycine-NaOH buffer, pH 10.0,  25°C <14>) <14>",,BRENDA,False,,
1.1.1.1,LIG_000017,Octanol,km,0.08,mM,Homo sapiens,,,"0.08 {Octanol}  (#9# isoenzyme alpha,gamma1 <13>) <13>",6342669;6342669,BRENDA,False,,
1.1.1.1,LIG_000027,acetaldehyde,km,0.085,mM,Homo sapiens,7.5,25,"0.085 {acetaldehyde}  (#9# isoenzyme beta1,beta1 <15>; #9#  isoenzyme beta1,beta1, 0.1 M sodium phosphate buffer, pH 7.5, at 25 °C  <20>) <15,20>",2819,BRENDA,False,,
1.1.1.1,LIG_000008,ethanol,km,0.84,mM,Homo sapiens,7.5,25,"0.84 {ethanol}  (#9# isoenzyme beta2,beta2, 0.1 M sodium phosphate  buffer, pH 7.5, 25°C <20>) <20>",2819;2819,BRENDA,False,,
1.1.1.1,LIG_000029,5beta-androstan-17beta-ol-3-one,km,0.046,mM,Homo sapiens,7.3,37,"0.046 {5beta-androstan-17beta-ol-3-one}  (#9# pH 7.3, 37°C, ADH1C*2  (gamma2gamma2) <119>) <119>",,BRENDA,False,,
1.1.1.1,LIG_000030,Hexanol,km,0.13,mM,Homo sapiens,,,0.13 {Hexanol}  <53>,,BRENDA,False,,
1.1.1.1,LIG_000007,NAD+,km,0.34,mM,Homo sapiens,,,0.34 {NAD+}  <96>,2,BRENDA,False,,
1.1.1.1,LIG_000030,Hexanol,km,17.0,mM,Homo sapiens,,,17 {Hexanol}  <21>,7011320,BRENDA,False,,
1.1.1.1,LIG_000008,ethanol,km,1.6,mM,Homo sapiens,,,"1.6 {ethanol}  (#9# isoenzyme beta1,beta1 <17>) <17>",6;6,BRENDA,False,,
1.1.1.1,LIG_000031,12-Hydroxydodecanoic acid,km,0.056,mM,Homo sapiens,,,0.056 {12-Hydroxydodecanoic acid}  <11>,,BRENDA,False,,
1.1.1.1,LIG_000032,Propanol,km,0.91,mM,Homo sapiens,,,0.91 {Propanol}  <96>,2,BRENDA,False,,
1.1.1.1,LIG_000033,ethylene glycol,km,50.0,mM,Homo sapiens,,,"50 {ethylene glycol}  (#9# isoenzyme alpha,gamma1 <13>) <13>",6342669;6342669,BRENDA,False,,
1.1.1.1,LIG_000020,NADH,km,260.0,mM,Homo sapiens,7.5,25,"260 {NADH}  (#9# isoenzyme beta3,beta3, 0.1 M sodium phospahte  buffer, pH 7.5, 25°C <20>) <20>",2819;2819,BRENDA,False,,
1.1.1.1,LIG_000022,12-hydroxydodecanoate,km,0.047,mM,Homo sapiens,,,0.047 {12-hydroxydodecanoate}  <96>,2,BRENDA,False,,
1.1.1.1,LIG_000034,methanol,km,150.0,mM,Homo sapiens,,,"150 {methanol}  (#9# isoenzyme alpha,gamma1 <13>) <13>",6342669;6342669,BRENDA,False,,
1.1.1.1,LIG_000035,butanol,km,0.24,mM,Homo sapiens,,,0.24 {butanol}  <96>,2,BRENDA,False,,
1.1.1.1,LIG_000034,methanol,km,10.4,mM,Homo sapiens,,,10.4 {methanol}  <12>,236461,BRENDA,False,,
1.1.1.1,LIG_000027,acetaldehyde,km,3.4,mM,Homo sapiens,7.5,25,"3.4 {acetaldehyde}  (#9# isoenzyme beta3,beta3, 0.1 M sodium  phospahte buffer, pH 7.5, 25°C <20>) <20>",2819;2819,BRENDA,False,,
1.1.1.1,LIG_000013,Pentanol,km,0.044,mM,Homo sapiens,,,0.044 {Pentanol}  <96>,2,BRENDA,False,,
