ligand_id,name,chebi_id,pubchem_id,roles
LIG_000001,16-hydroxyhexadecanoate,,,substrate
LIG_000002,1-Octanol,,,product;substrate
LIG_000003,4-hydroxy-retinol,,,substrate
LIG_000004,all-trans-retinal,,,product;substrate
LIG_000005,retinol,,,substrate
LIG_000006,Cyclohexanol,,,product;substrate
LIG_000007,NAD+,,,product;substrate
LIG_000008,ethanol,,,product;substrate
LIG_000009,11-cis-retinol,,,product;substrate
LIG_000010,5beta-Pregnan-3beta-ol-20-one,,,substrate
LIG_000011,4-oxo-retinal,,,substrate
LIG_000012,3-Phenyl-1-propanol,,,substrate
LIG_000013,Pentanol,,,substrate
LIG_000014,"3,4-dihydro-retinal",,,substrate
LIG_000015,tryptophol,,,substrate
LIG_000016,all-trans-retinol,,,product;substrate
LIG_000017,Octanol,,,substrate
LIG_000018,9-cis-retinol,,,product;substrate
LIG_000019,5beta-cholanic acid-3-one,,,substrate
LIG_000020,NADH,,,product;substrate
LIG_000021,octanal,,,substrate
LIG_000022,12-hydroxydodecanoate,,,substrate
LIG_000023,"3,4-dihydro-retinol",,,substrate
LIG_000024,benzyl alcohol,,,substrate
LIG_000025,5alpha-androstan-17beta-ol-3-one,,,substrate
LIG_000026,"5beta-pregnan-3,20-dione",,,substrate
LIG_000027,acetaldehyde,,,product;substrate
LIG_000028,Vanillyl alcohol,,,substrate
LIG_000029,5beta-androstan-17beta-ol-3-one,,,substrate
LIG_000030,Hexanol,,,substrate
LIG_000031,12-Hydroxydodecanoic acid,,,substrate
LIG_000032,Propanol,,,substrate
LIG_000033,ethylene glycol,,,substrate
LIG_000034,methanol,,,product;substrate
LIG_000035,butanol,,,substrate
LIG_000036,5beta-androstan-3beta-ol-17-one,,,substrate
LIG_000037,(S)-2-butanol,,,substrate
LIG_000038,1-Pentanol,,,substrate
LIG_000039,2-deoxy-D-ribose,,,substrate
LIG_000040,2-propanol,,,substrate
LIG_000041,3-Pyridylcarbinol,,,substrate
LIG_000042,"4-androsten-3,17-dione",,,substrate
LIG_000043,1-formyl-8-methylpyrene,,,substrate
LIG_000044,1-formylpyrene,,,substrate
LIG_000045,1-formyl-6-methylpyrene,,,substrate
LIG_000046,4-formylpyrene,,,substrate
LIG_000047,4-hydroxymethylpyrene,,,substrate
LIG_000048,2-formylpyrene,,,substrate
LIG_000049,1-hydroxymethyl-8-methylpyrene,,,substrate
LIG_000050,1-hydroxymethylpyrene,,,substrate
LIG_000051,1-hydroxymethyl-6-methylpyrene,,,substrate
LIG_000052,2-hydroxymethylpyrene,,,substrate
LIG_000053,pregnenolone,,,product;substrate
LIG_000054,"1,4-Naphthoquinone",,,substrate
LIG_000055,4-hexanoylpyridine,,,substrate
LIG_000056,menadione,,,substrate
LIG_000057,"2,3-Hexanedione",,,substrate
LIG_000058,NADPH,,,product;substrate
LIG_000059,NADP+,,,product;substrate
LIG_000060,"4,4'-dimethylbenzil",,,substrate
LIG_000061,"5beta-pregnane-3beta,20alpha-diol",,,substrate
LIG_000062,benzil,,,substrate
LIG_000063,17alpha-hydroxypregnenolone,,,substrate
LIG_000064,"2,3-heptanedione",,,substrate
LIG_000065,4-benzoylpyridine,,,substrate
LIG_000066,"6-tert-butyl-2,3-epoxy-5-cyclohexene-1,4-dione",,,substrate
LIG_000067,dehydroepiandrosterone,,,substrate
LIG_000068,dimethyl-2-oxo-glutarate,,,substrate
LIG_000069,"2,3-Pentanedione",,,substrate
LIG_000070,"5beta-androstane-3,17-dione",,,product;substrate
LIG_000071,isatin,,,substrate
LIG_000072,"5alpha-androstane-3,17-dione",,,product;substrate
LIG_000073,"9,10-phenanthrenequinone",,,substrate
LIG_000074,1-phenylisatin,,,substrate
LIG_000075,Dehydrolithocholic acid,,,substrate
LIG_000076,n-butyrophenone,,,substrate
LIG_000077,hexanophenone,,,substrate
LIG_000078,5alpha-dihydrotestosterone,,,product;substrate
LIG_000079,"5beta-pregnane-3,20-dione",,,product;substrate
LIG_000080,valerophenone,,,substrate
LIG_000081,(S)-1-tetralol,,,substrate
LIG_000082,(S)-1-indanol,,,substrate
LIG_000083,4-nitrobenzaldehyde,,,substrate
LIG_000084,5beta-pregnan-20alpha-ol-3-one,,,substrate
LIG_000085,5alpha-Androstan-3beta-ol-17-one,,,substrate
LIG_000086,Pyridine-4-aldehyde,,,substrate
LIG_000087,diacetyl,,,substrate
LIG_000088,"5-androstene-3,17-dione",,,substrate
LIG_000089,(S)-phenyl-1-butanol,,,substrate
LIG_000090,"5beta-androstane-3beta,17beta-diol",,,product;substrate
LIG_000091,nomegestrol acetate,,,substrate
LIG_000092,epostane,,,substrate
LIG_000093,genistein,,,substrate
LIG_000094,"4alpha,5alpha-epoxy-testosterone",,,substrate
LIG_000095,6-hydroxyflavone,,,substrate
LIG_000096,trilostane,,,substrate
LIG_000097,17beta-acetoxy-trilostane,,,substrate
LIG_000098,nestorone,,,substrate
LIG_000099,cyanoketone,,,substrate
LIG_000100,drospirenone,,,substrate
LIG_000101,16beta-hydroxy-dehydroepiandrosterone,,,substrate
LIG_000102,16alpha-hydroxy-dehydroepiandrosterone,,,substrate
LIG_000103,16-cyano-17-keto-trilostane,,,substrate
LIG_000104,"2,16-dicyano-4,5-epoxy-androstane-3,17-dione",,,substrate
LIG_000105,cortisol,,,product;substrate
LIG_000106,cortisone,,,product;substrate
LIG_000107,"11beta,17,21-trihydroxy-pregn-4-ene-3,20-dione",,,substrate
LIG_000108,corticosterone,,,product;substrate
LIG_000109,"7-oxo-5alpha-androstane-3beta,17beta-diol",,,substrate
LIG_000110,"2,3-benzoylphenyl-propanoic acid",,,substrate
LIG_000111,dehydrocorticosterone,,,substrate
LIG_000112,"5alpha-androstane-3beta,7beta,17beta-triol",,,substrate
LIG_000113,metapyrone,,,substrate
LIG_000114,"5alpha-androstane-3beta,7alpha,17beta-triol",,,substrate
LIG_000115,oracin,,,substrate
LIG_000116,"17,21-dihydroxy-pregn-4-ene-3,11,20-trione",,,substrate
LIG_000117,7beta-hydroxycholesterol,,,product;substrate
LIG_000118,7-oxocholesterol,,,substrate
LIG_000119,"11beta,21-dihydroxypregn-4-en-3,20-dione",,,substrate
LIG_000120,"5, 5-dimethyl-3-(3-fluorphenyl)-4-(4-methylsulphonyl)phenyl-2-(5H- furanone)-lactol",,,substrate
LIG_000121,N-(6-aminopyridin-2-yl)-4'-cyanobiphenyl-4-sulfonamide,,,substrate
LIG_000122,glycyrrhetinic acid,,,substrate
LIG_000123,4'-cyano-N-[6-(ethylamino)pyridin-2-yl]biphenyl-4-sulfonamide,,,substrate
LIG_000124,4'-cyano-N-(6-cyclopropylpyridin-2-yl)biphenyl-4-sulfonamide,,,substrate
LIG_000125,4'-cyano-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide,,,substrate
LIG_000126,4'-fluoro-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide,,,substrate
LIG_000127,4'-cyano-N-[6-(methylamino)pyridin-2-yl]biphenyl-4-sulfonamide,,,substrate
LIG_000128,4'-cyano-N-[6-(propan-2-yl)pyridin-2-yl]biphenyl-4-sulfonamide,,,substrate
LIG_000129,N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide,,,substrate
LIG_000130,N-(6-methylpyridin-2-yl)-4-(trifluoromethyl)benzenesulfonamide,,,substrate
LIG_000131,4'-cyano-N-(6-ethylpyridin-2-yl)biphenyl-4-sulfonamide,,,substrate
LIG_000132,4'-chloro-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide,,,substrate
LIG_000133,4'-methyl-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide,,,substrate
LIG_000134,N-(6-methylpyridin-2-yl)naphthalene-2-sulfonamide,,,substrate
LIG_000135,3-chloro-2-methyl-N-[6-[2-oxo-2-(piperidin-1-yl)ethyl]pyridin-2- yl]benzenesulfonamide,,,substrate
LIG_000136,3-chloro-2-methyl-N-(6-methylpyridin-2-yl)benzenesulfonamide,,,substrate
