uniprot_id,ec_number,name,gene_symbol,organism,pdb_ids,molecular_weight,subunit_structure,sequence_length,ensembl_id
O00329,2.7.1.137,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta)  (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)",PIK3CD,Homo sapiens,5DXU;5M6U;5T8F;5UBT;5VLR;6G6W;6OCO;6OCU;6PYR;6PYU;7JIS;7LM2;7LQ1;8BCY;8S3R;9GCF;9GDI;9L3R,119479,"Heterodimer of a catalytic subunit PIK3CD and a p85 regulatory subunit (PIK3R1, PIK3R2 or PIK3R3). Interacts with ERAS (By similarity). Interacts with HRAS. Interacts (via the catalytic domain) with FOXM1 isoform 5 (FOXM1D); FOXM1D also simultaneously binds to the PI3K regulatory subunit which relieves the inhibitory effect of the regulatory subunit on the kinase activity of the catalytic subunit (PubMed:32606397)",1044,ENSG00000171608
O00444,2.7.11.21,Serine/threonine-protein kinase PLK4 (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak),PLK4,Homo sapiens,2N19;3COK;4JXF;4N7V;4N7Z;4N9J;4YUR;4YYP;5LHY;5LHZ;6N45;6N46;6W38;6W3I;6W3J;8XPG;9O63,108972,Homodimer (By similarity). Interacts with CEP152 (via N-terminus). Interacts with CEP78; this interaction may be important for proper PLK4 localization to the centriole and PLK4-induced overduplication of centrioles (PubMed:27246242). Interacts with CEP131 (PubMed:30804208). Interacts simultaneously with TENT5C and CEP192 (PubMed:32433990). Interacts with TENT5C; this interaction leads to the TENT5C recruitment in the centrosome (PubMed:32433990). Interacts with CEP85; this interaction may be im,970,ENSG00000142731
O14757,2.7.11.1,Serine/threonine-protein kinase Chk1 (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1),CHEK1,Homo sapiens,1IA8;1NVQ;1NVR;1NVS;1ZLT;1ZYS;2AYP;2BR1;2BRB;2BRG;2BRH;2BRM;2BRN;2BRO;2C3J;2C3K;2C3L;2CGU;2CGV;2CGW;2CGX;2E9N;2E9O;2E9P;2E9U;2E9V;2GDO;2GHG;2HOG;2HXL;2HXQ;2HY0;2QHM;2QHN;2R0U;2WMQ;2WMR;2WMS;2WMT;2WMU;2WMV;2WMW;2WMX;2X8D;2X8E;2X8I;2XEY;2XEZ;2XF0;2YDI,54434,"Interacts (phosphorylated by ATR) with RAD51 (PubMed:15665856). Interacts with and phosphorylates CLSPN, an adapter protein that regulates the ATR-dependent phosphorylation of CHEK1 (PubMed:16963448). Interacts with BRCA1 (PubMed:11836499). Interacts with and phosphorylates CDC25A, CDC25B and CDC25C (PubMed:9278511). Interacts with FBXO6, which regulates CHEK1 (PubMed:19716789). Interacts with PPM1D, which regulates CHEK1 through dephosphorylation (PubMed:15870257). Interacts with TIMELESS; DNA ",476,ENSG00000149554
P00374,1.5.1.3,Dihydrofolate reductase,DHFR,Homo sapiens,1BOZ;1DHF;1DLR;1DLS;1DRF;1HFP;1HFQ;1HFR;1KMS;1KMV;1MVS;1MVT;1OHJ;1OHK;1PD8;1PD9;1PDB;1S3U;1S3V;1S3W;1U71;1U72;1YHO;2C2S;2C2T;2DHF;2W3A;2W3B;2W3M;3EIG;3F8Y;3F8Z;3F91;3FS6;3GHC;3GHV;3GHW;3GI2;3GYF;3L3R;3N0H;3NTZ;3NU0;3NXO;3NXR;3NXT;3NXV;3NXX;3NXY;3NZD,21453,"Homodimer. Part of the de novo thymidylate synthesis complex composed at least by SHMT1, DHFR and TYMS (PubMed:22235121). Interacts with SHMT1; this interaction is DNA-dependent and mediates DHFR co-localization with LMNB1 (PubMed:22235121)",187,ENSG00000228716
P00519,2.7.10.2,Tyrosine-protein kinase ABL1 (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150),ABL1,Homo sapiens,1AB2;1AWO;1BBZ;1JU5;1OPL;1ZZP;2ABL;2E2B;2F4J;2FO0;2G1T;2G2F;2G2H;2G2I;2GQG;2HIW;2HYY;2HZ0;2HZ4;2HZI;2O88;2V7A;3CS9;3EG0;3EG1;3EG2;3EG3;3EGU;3K2M;3PYY;3QRI;3QRJ;3QRK;3T04;3UE4;3UYO;4J9B;4J9C;4J9D;4J9E;4J9F;4J9G;4J9H;4J9I;4JJB;4JJC;4JJD;4TWP;4WA9;4XEY,122873,"Interacts with SORBS1 following insulin stimulation. Found in a trimolecular complex containing CDK5 and CABLES1. Interacts with CABLES1 and PSTPIP1. Interacts with ZDHHC16, ITGB1 and HCK (By similarity). Interacts with STX17; probably phosphorylates STX17. Interacts with INPPL1/SHIP2. Interacts with the 14-3-3 proteins, YWHAB, YWHAE, YWHAG, YWHAH, SFN and YWHAZ; the interaction with 14-3-3 proteins requires phosphorylation on Thr-735 and, sequesters ABL1 into the cytoplasm. Interacts with ABI1,",1130,ENSG00000097007
P03915,7.1.1.2,NADH-ubiquinone oxidoreductase chain 5 (NADH dehydrogenase subunit 5),MT-ND5,Homo sapiens,5XTC;5XTD;5XTH;5XTI;9CWT;9I4I;9TI4,67027,Core subunit of respiratory chain NADH dehydrogenase (Complex I) which is composed of 45 different subunits,603,ENSG00000198786
P03951,3.4.21.27,Coagulation factor XI (FXI) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain],F11,Homo sapiens,1XX9;1XXD;1XXF;1ZHM;1ZHP;1ZHR;1ZJD;1ZLR;1ZMJ;1ZML;1ZMN;1ZOM;1ZPB;1ZPC;1ZPZ;1ZRK;1ZSJ;1ZSK;1ZSL;1ZTJ;1ZTK;1ZTL;2FDA;2J8J;2J8L;3BG8;3SOR;3SOS;4CR5;4CR9;4CRA;4CRB;4CRC;4CRD;4CRE;4CRF;4CRG;4D76;4D7F;4D7G;4NA7;4NA8;4TY6;4TY7;4WXI;4X6M;4X6N;4X6O;4X6P;4Y8X,70109,"Homodimer; disulfide-linked (PubMed:19548906, PubMed:22961984). Can form non-covalently bonded homodimers (PubMed:19548906). After activation the heavy and light chains are also linked by a disulfide bond (PubMed:22961984). Interacts (activated) with F9 (inactive and activated) in calcium-dependent manner (PubMed:22961984). Forms a heterodimer with SERPINA5 (PubMed:2844223). Interacts with Anopheles gambiae D7L2 (PubMed:35460690). Interacts (activated) with guianensin, an anticoagulant protein f",625,ENSG00000088926
P03956,3.4.24.7,Interstitial collagenase (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase],MMP1,Homo sapiens,1AYK;1CGE;1CGF;1CGL;1HFC;1SU3;2AYK;2CLT;2J0T;2TCL;3AYK;3SHI;4AUO;4AYK;966C,54007,(Microbial infection) Interacts with HIV-1 Tat,469,ENSG00000196611
P04062,3.2.1.45,Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (Cholesteryl-beta-glucosidase) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase b,GBA1,Homo sapiens,1OGS;1Y7V;2F61;2J25;2NSX;2NT0;2NT1;2V3D;2V3E;2V3F;2VT0;2WCG;2WKL;2XWD;2XWE;3GXD;3GXF;3GXI;3GXM;3KE0;3KEH;3RIK;3RIL;5LVX;6MOZ;6Q1N;6Q1P;6Q6K;6Q6L;6Q6N;6T13;6TJJ;6TJK;6TJQ;6TN1;6YTP;6YTR;6YUT;6YV3;6Z39;6Z3I;7NWV;8AWK;8AWR;8AX3;8P3E;8P41;9ENA;9F9Z;9FA3,59716,Interacts with saposin-C (PubMed:10781797). Interacts with SCARB2 (PubMed:18022370). Interacts with TCP1 (PubMed:21098288). May interact with SNCA; this interaction may inhibit the glucosylceramidase activity (PubMed:23266198). Interacts with GRN; this interaction prevents aggregation of GBA1-SCARB2 complex via interaction with HSPA1A upon stress (PubMed:27789271),536,ENSG00000177628
P04626,2.7.10.1,Receptor tyrosine-protein kinase erbB-2 (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),ERBB2,Homo sapiens,1MFG;1MFL;1MW4;1N8Z;1QR1;1S78;2A91;2JWA;2KS1;2L4K;2N2A;3BE1;3H3B;3MZW;3N85;3PP0;3RCD;3WLW;3WSQ;4GFU;4HRL;4HRM;4HRN;4NND;5K33;5KWG;5MY6;5O4G;5OB4;5TQS;6ATT;6BGT;6J71;6LBX;6OGE;7JXH;7MN5;7MN6;7MN8;7PCD;7QVK;8FFJ;8HGO;8HGP;8JYQ;8JYR;8PWH;8Q6J;8U4K;8U4L,137910,"Homodimer (PubMed:21454582). Heterodimer with EGFR, ERBB3 and ERBB4 (PubMed:10358079, PubMed:15093539, PubMed:16978839, PubMed:21190959). Part of a complex with EGFR and either PIK3C2A or PIK3C2B. May interact with PIK3C2B when phosphorylated on Tyr-1196 (PubMed:10805725). Interacts with PLXNB1 (PubMed:15210733). Interacts (when phosphorylated on Tyr-1248) with MEMO1 (PubMed:15156151). Interacts with MUC1; the interaction is enhanced by heregulin (HRG) (PubMed:12939402). Interacts (when phosphor",1255,ENSG00000141736
